,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,sex,HIV,AIDS,stigma,condom,witchcraft,misconception,diarrhea,diarrhoea,PMTCT,prevention of mother to child transmission,mother,abortion,vaccine,injection,drug,pediatrics
1,sex,1.0,0.14059926625095126,0.1200747379062028,0.03132631387648936,0.022517917788303178,0.0017321475221771675,0.004157154053225202,0.042196249474676574,0.019950931952158652,0.0038277620654013473,0.004588771140718529,0.11778603150804738,0.028833157278995013,0.05433264047432446,0.145301620835747,0.3137458684022217,0.08914028691177973
2,HIV,0.32806805984389703,1.0,0.49290380716377563,0.05284709062719478,0.050104024488822334,0.002729814611133933,0.005154844095782039,0.06852364735035713,0.03677298808687701,0.01881716867869022,0.02206379285212621,0.11926374514662814,0.026344036150166308,0.19173634761406252,0.17089169526787962,0.5071226958907014,0.0915680532181334
3,AIDS,0.33628642320905966,0.5916147092505408,1.0,0.06335093523349027,0.0554459854943377,0.003308308945158417,0.00785723374475124,0.06306463926708232,0.02029520295202952,0.02051787759256903,0.024032955846799847,0.12881727955210587,0.02929762056241252,0.14737880137422063,0.14658353480086525,0.46201806845654664,0.07491411121007761
4,stigma,0.4539170506912442,0.32817643186306783,0.32776497695852536,1.0,0.09455233706385781,0.014400921658986175,0.021807109940750493,0.020901909150757077,0.013248847926267281,0.03703094140882159,0.03949967083607637,0.25,0.07784726793943383,0.04822251481237656,0.08681698485845951,0.37886767610269917,0.06468071099407505
5,condom,0.8528715852871586,0.8132931813293182,0.7498386749838675,0.24714992471499247,1.0,0.006668100666810067,0.02301570230157023,0.029253602925360292,0.01312110131211013,0.062379006237900624,0.06947730694773069,0.24930092493009248,0.12669391266939126,0.18391051839105185,0.21617552161755216,0.5194665519466551,0.07227360722736072
6,witchcraft,0.3600944510035419,0.24321133412042503,0.24557260920897284,0.2066115702479339,0.03659976387249114,1.0,0.03305785123966942,0.07083825265643448,0.06257378984651712,0.024793388429752067,0.024793388429752067,0.4025974025974026,0.07319952774498228,0.0590318772136954,0.04132231404958678,0.2538370720188902,0.03305785123966942
7,misconception,0.21624815361890695,0.11491875923190546,0.14593796159527325,0.07828655834564253,0.031610044313146235,0.00827178729689808,1.0,0.023042836041358938,0.009158050221565732,0.006499261447562777,0.0103397341211226,0.15125553914327916,0.050812407680945346,0.05465288035450517,0.07946824224519941,0.2691285081240768,0.047858197932053176
8,diarrhea,0.3095446402533017,0.21543140440778236,0.16518768487272426,0.010582010582010581,0.005665958421863934,0.002499687539057618,0.0032495938007749033,1.0,0.10248718910136233,0.004582760488272299,0.006665833437486981,0.09857101195683873,0.021205682623005456,0.15156438778486023,0.2237220347456568,0.5196433779110945,0.14048243969503812
9,diarrhoea,0.35165165165165163,0.2777777777777778,0.12772772772772772,0.016116116116116116,0.006106106106106106,0.005305305305305305,0.003103103103103103,0.24624624624624625,1.0,0.00910910910910911,0.01001001001001001,0.18578578578578578,0.027527527527527528,0.14304304304304305,0.13003003003003002,0.5164164164164164,0.15675675675675677
10,PMTCT,0.46935933147632314,0.9888579387186629,0.8983286908077994,0.31337047353760444,0.201949860724234,0.014623955431754874,0.01532033426183844,0.0766016713091922,0.06337047353760446,1.0,0.7381615598885793,0.8969359331476323,0.08844011142061281,0.1288300835654596,0.07799442896935933,0.5181058495821727,0.16295264623955433
11,prevention of mother to child transmission,0.4803804994054697,0.9898929845422116,0.8983353151010701,0.2853745541022592,0.19203329369797859,0.01248513674197384,0.020808561236623068,0.09512485136741974,0.059453032104637336,0.6302021403091558,1.0,1.0,0.07609988109393578,0.17419738406658739,0.10463733650416171,0.5529131985731273,0.1700356718192628
12,mother,0.3345646948750625,0.14518236518204256,0.13064799728992918,0.04900711393589392,0.018696262360665256,0.0055007985030085015,0.00825926344146731,0.038166830668968074,0.029939829975318997,0.020777209594941202,0.02713297091513284,1.0,0.07263957671274862,0.05820199706408995,0.10787049733025762,0.24234163023664726,0.1325192366633866
13,abortion,0.36572539979829993,0.14320703068722085,0.13268981414781733,0.06814580031695722,0.042429044806223885,0.004466215242760409,0.012390145512174038,0.03666618642846852,0.019809825673534072,0.009148537674686645,0.009220573404408587,0.3243768909379052,1.0,0.07059501512750324,0.1488978533352543,0.261201555971762,0.06807376458723527
14,vaccine,0.20857223833089886,0.3154418016525322,0.20201007216202665,0.012775512873618347,0.018640040114238376,0.001090060825394057,0.0040332250539580105,0.07931282565567159,0.03115393838976215,0.0040332250539580105,0.0063877564368091735,0.07865878916043516,0.021365192177723518,1.0,0.22686345898101115,0.39226928862630533,0.1120146504174933
15,injection,0.19655217448086718,0.09907120743034056,0.0708002673447595,0.008104848312578263,0.007720732278806782,0.00026888122364003716,0.0020665442616905716,0.041254062027057135,0.009979334557383094,0.000860419915648119,0.0013520884388756155,0.05137167835659796,0.015879356836113055,0.07994222894852077,1.0,0.40347548187356436,0.0668592368382641
16,drug,0.23483727810650887,0.16267513432632796,0.1234782017275386,0.01957083588383323,0.010265762089369516,0.0009139291301095015,0.0038725090117663064,0.053020642045840984,0.021930048289464734,0.003162619873495205,0.0039532748418690065,0.06386026661225601,0.015413521050125825,0.07648524110725702,0.22325375773651635,1.0,0.06919931306536081
17,pediatrics,0.34411242408962356,0.15149189923925196,0.10326003551619056,0.017231929493784666,0.007366321004976651,0.0006138600837480543,0.0035516190559708857,0.0739262929428014,0.03433231754105189,0.005130116414180168,0.006270142283997983,0.1801021638567952,0.020717777826496832,0.11264332536776796,0.19080086817354702,0.35689386797623485,1.0
